time,Surface_runoff,Base_flow,discharge
2015-08-01,0.0,1.3865995214114787e-06,1.3865995214114787e-06
2015-09-01,5.250745706357315e-06,4.9291828068050416e-08,5.300037534425366e-06
2015-10-01,2.269419868962247e-05,1.7661431586170581e-09,2.269596483278109e-05
2015-11-01,8.448796908159303e-05,2.1600783663430646e-05,0.00010608875274502368
2015-12-01,0.00041822318781665585,0.0008500568326999499,0.0012682800205166057
2016-01-01,0.011667221321246504,0.008086479338019068,0.01975370065926557
2016-02-01,0.0050452163447311515,0.0941128684908005,0.09915808483553165
2016-03-01,0.0044112963201961295,0.0706769724691212,0.07508826878931733
2016-04-01,0.001418819021637659,0.05752956087283339,0.05894837989447105
2016-05-01,0.0006189981561802302,0.004892302043118043,0.005511300199298273
2016-06-01,0.0,0.00107266685671634,0.00107266685671634
